"name","Type","Color","Color Category","manacost","maybeboard","tags"
"Faith's Fetters","Enchantment - Aura","W","White","{3}{W}","false","White - Prison"
"Faerie Seer","Creature - Faerie Wizard","U","Blue","{U}","false","Blue - Tempo"
"Callous Dismissal","Creature","U","Blue","{1}{U}","false","Blue - Control"
"Moon-Circuit Hacker","Enchantment Creature - Human Ninja","U","Blue","{1}{U}","false","Blue - Tempo"
"Zephyr Winder","Creature - Elemental","U","Blue","{1}{U}","false","Blue - Flying"
"Cloudkin Seer","Creature - Elemental Wizard","U","Blue","{2}{U}","false","Blue - Flying"
"Eldrazi Skyspawner","Creature - Eldrazi Drone","U","Blue","{2}{U}","false","Blue - Flying"
"Frost Trickster","Creature - Bird Wizard","U","Blue","{2}{U}","false","Blue - Tempo"
"Geyser Drake","Creature - Drake","U","Blue","{2}{U}","false","Blue - Tempo"
"Man-o'-War","Creature - Jellyfish","U","Blue","{2}{U}","false","Blue - Bounce"
"Mistral Singer","Creature - Siren","U","Blue","{2}{U}","false","Blue - Flying"
"Mocking Sprite","Creature - Faerie Rogue","U","Blue","{2}{U}","false","Blue - Control"
"Pestermite","Creature - Faerie Rogue","U","Blue","{2}{U}","false","Blue - Tempo"
"Preening Champion","Creature - Bird Knight","U","Blue","{2}{U}","false","Blue - Bounce"
"Sea Gate Oracle","Creature - Human Wizard","U","Blue","{2}{U}","false","Blue - Bounce"
"Serum Visionary","Creature - Vedalken Wizard","U","Blue","{2}{U}","false","Blue - Bounce"
"Warden of Evos Isle","Creature - Bird Wizard","U","Blue","{2}{U}","false","Blue - Flying"
"Winter Eladrin","Creature - Faerie Elf Wizard","U","Blue","{2}{U}","false","Blue - Bounce"
"Archaeomancer","Creature - Human Wizard","U","Blue","{2}{U}{U}","false","Blue - Control"
"Augury Raven","Creature - Bird","U","Blue","{3}{U}","false","Blue - Flying"
"Mist Raven","Creature - Bird","U","Blue","{2}{U}{U}","false","Blue - Bounce"
"Murmuring Mystic","Creature - Human Wizard","U","Blue","{3}{U}","false","Blue - Control"
"Ninja of the Deep Hours","Creature - Human Ninja","U","Blue","{3}{U}","false","Blue - Tempo"
"Mulldrifter","Creature","U","Blue","{4}{U}","false","Blue - Bounce"
"Peregrine Drake","Creature - Drake","U","Blue","{4}{U}","false","Blue - Flying"
"Young Blue Dragon","Creature - Dragon","U","Blue","{4}{U}","false","Blue - Flying"
"Aethersnipe","Creature - Elemental","U","Blue","{5}{U}","false","Blue - Bounce"
"Mirrorshell Crab","Artifact Creature - Crab","U","Blue","{5}{U}{U}","false","Blue - Control"
"Striped Riverwinder","Creature - Serpent","U","Blue","{6}{U}","false","Blue - Control"
"Condescend","Instant","U","Blue","{X}{U}","false","Blue - Control"
"Opt","Instant","U","Blue","{U}","false","Blue - Tempo"
"Counterspell","Instant","U","Blue","{U}{U}","false","Blue - Flying"
"Into the Roil","Instant","U","Blue","{1}{U}","false","Blue - Tempo"
"Lose Focus","Instant","U","Blue","{1}{U}","false","Blue - Control"
"Mana Leak","Instant","U","Blue","{1}{U}","false","Blue - Control"
"Miscalculation","Instant","U","Blue","{1}{U}","false","Blue - Control"
"Remove Soul","Instant","U","Blue","{1}{U}","false","Blue - Tempo"
"Snap","Instant","U","Blue","{1}{U}","false","Blue - Tempo"
"Capsize","Instant","U","Blue","{1}{U}{U}","false","Blue - Bounce"
"Displace","Instant","U","Blue","{2}{U}","false","Blue - Bounce"
"Ghostly Flicker","Instant","U","Blue","{2}{U}","false","Blue - Bounce"
"Quick Study","Instant","U","Blue","{2}{U}","false","Blue - Tempo"
"Behold the Multiverse","Instant","U","Blue","{3}{U}","false","Blue - Flying"
"Hard Evidence","Sorcery","U","Blue","{U}","false","Blue - Tempo"
"Ponder","Sorcery","U","Blue","{U}","false","Blue - Control"
"Preordain","Sorcery","U","Blue","{U}","false","Blue - Control"
"Treasure Cruise","Sorcery","U","Blue","{7}{U}","false","Blue - Control"
"Bind the Monster","Enchantment - Aura","U","Blue","{U}","false","Blue - Flying"
"Bubble Snare","Enchantment - Aura","U","Blue","{U}","false","Blue - Flying"
"Weakstone's Subjugation","Enchantment - Aura","U","Blue","{U}","false","Blue - Tempo"
"Witness Protection","Enchantment - Aura","U","Blue","{U}","false","Blue - Flying"
"Carrion Feeder","Creature - Zombie","B","Black","{B}","false","Black - Graveyard"
"Ecstatic Awakener","Creature - Human Wizard","B","Black","{B}","false","Black - ETB"
"Nested Shambler","Creature","B","Black","{B}","false","Black - Aristocrats"
"Nezumi Linkbreaker","Creature - Rat Warlock","B","Black","{B}","false","Black - Aristocrats"
"Plagued Rusalka","Creature - Spirit","B","Black","{B}","false","Black - Aristocrats"
"Retrofitted Transmogrant","Artifact Creature - Zombie","B","Black","{B}","false","Black - Graveyard"
"Unwilling Ingredient","Creature - Frog","B","Black","{B}","false","Black - Aristocrats"
"Accursed Marauder","Creature - Zombie Warrior","B","Black","{1}{B}","false","Black - Removal"
"Carrier Thrall","Creature - Vampire","B","Black","{1}{B}","false","Black - Graveyard"
"Dusk Legion Zealot","Creature - Vampire Soldier","B","Black","{1}{B}","false","Black - ETB"
"Feign Death","Creature - Human Assassin","B","Black","{B}","false","Black - Removal"
"Gixian Infiltrator","Creature - Phyrexian Human","B","Black","{1}{B}","false","Black - Graveyard"
"Lazotep Reaver","Creature - Zombie Beast","B","Black","{1}{B}","false","Black - ETB"
"Legion Vanguard","Creature - Vampire Soldier","B","Black","{1}{B}","false","Black - Aristocrats"
"Putrid Goblin","Creature - Zombie Goblin","B","Black","{1}{B}","false","Black - Graveyard"
"Sultai Emissary","Creature - Zombie Warrior","B","Black","{1}{B}","false","Black - Aristocrats"
"Crypt Rats","Creature - Rat","B","Black","{2}{B}","false","Black - Removal"
"Phyrexian Ghoul","Creature - Zombie","B","Black","{2}{B}","false","Black - Aristocrats"
"Phyrexian Rager","Creature - Horror","B","Black","{2}{B}","false","Black - ETB"
"Wakedancer","Creature - Human Shaman","B","Black","{2}{B}","false","Black - ETB"
"Bone Picker","Creature - Bird","B","Black","{3}{B}","false","Black - Aristocrats"
"Faceless Butcher","Creature - Nightmare Horror","B","Black","{2}{B}{B}","false","Black - ETB"
"Falkenrath Noble","Creature - Vampire","B","Black","{3}{B}","false","Black - Graveyard"
"Gravedigger","Creature - Zombie","B","Black","{3}{B}","false","Black - Graveyard"
"Scurrilous Sentry","Creature - Human Knight Rogue","B","Black","{3}{B}","false","Black - Graveyard"
"Thorn of the Black Rose","Creature - Human Assassin","B","Black","{3}{B}","false","Black - Removal"
"Loathsome Curator","Creature - Nightstalker","B","Black","{4}{B}","false","Black - ETB"
"Vampire Sovereign","Creature - Vampire Noble","B","Black","{3}{B}{B}","false","Black - ETB"
"First-Sphere Gargantua","Creature - Horror","B","Black","{4}{B}{B}","false","Black - ETB"
"Gurmag Angler","Creature - Zombie Fish","B","Black","{6}{B}","false","Black - Aristocrats"
"Defile","Instant","B","Black","{B}","false","Black - Aristocrats"
"Disfigure","Instant","B","Black","{B}","false","Black - Removal"
"Lash of Malice","Instant","B","Black","{B}","false","Black - Aristocrats"
"Tragic Slip","Instant","B","Black","{B}","false","Black - Graveyard"
"Village Rites","Instant","B","Black","{B}","false","Black - Aristocrats"
"Candy Grapple","Instant","B","Black","{1}{B}","false","Black - Removal"
"Cast Down","Instant","B","Black","{1}{B}","false","Black - ETB"
"Death Denied","Instant - Arcane","B","Black","{X}{B}{B}","false","Black - Graveyard"
"Go for the Throat","Instant","B","Black","{1}{B}","false","Black - ETB"
"Tragic Fall","Instant","B","Black","{1}{B}","false","Black - Aristocrats"
"Wither and Bloom","Instant","B","Black","{1}{B}","false","Black - Removal"
"Rowan's Grim Search","Instant","B","Black","{2}{B}","false","Black - Removal"
"Unearth","Sorcery","B","Black","{B}","false","Black - Graveyard"
"Feed the Swarm","Sorcery","B","Black","{1}{B}","false","Black - Graveyard"
"Night's Whisper","Sorcery","B","Black","{1}{B}","false","Black - Removal"
"Ransack the Lab","Sorcery","B","Black","{1}{B}","false","Black - Graveyard"
"Blood Fountain","Artifact","B","Black","{B}","false","Black - ETB"
"Tithing Blade","Artifact","B","Black","{1}{B}","false","Black - Removal"
"Dead Weight","Enchantment - Aura","B","Black","{B}","false","Black - ETB"
"Pestilence","Enchantment","B","Black","{2}{B}{B}","false","Black - Removal"
"Fanatical Firebrand","Creature - Goblin Pirate","R","Red","{R}","false","Red - RDW"
"Frenzied Goblin","Creature - Goblin Berserker","R","Red","{R}","false","Red - Buff"
"Goblin Bushwhacker","Creature - Goblin Warrior","R","Red","{R}","false","Red - Go Wide"
"Grim Initiate","Creature - Zombie Warrior","R","Red","{R}","false","Red - Sacrifice"
"Harried Spearguard","Creature - Human Soldier","R","Red","{R}","false","Red - Sacrifice"
"Jackal Pup","Creature - Jackal","R","Red","{R}","false","Red - Buff"
"Monastery Swiftspear","Creature - Human Monk","R","Red","{R}","false","Red - RDW"
"Reckless Lackey","Creature - Goblin Pirate","R","Red","{R}","false","Red - Sacrifice"
"Scorched Rusalka","Creature - Spirit","R","Red","{R}","false","Red - Sacrifice"
"Borderland Marauder","Creature - Human Warrior","R","Red","{1}{R}","false","Red - Buff"
"Firebrand Archer","Creature - Human Archer","R","Red","{1}{R}","false","Red - RDW"
"Fireslinger","Creature - Human Wizard","R","Red","{1}{R}","false","Red - RDW"
"Forbidden Friendship","Creature","R","Red","{1}{R}","false","Red - Go Wide"
"Hobblefiend","Creature - Devil","R","Red","{1}{R}","false","Red - Sacrifice"
"Mayhem Patrol","Creature - Elemental Shaman","R","Red","{1}{R}","false","Red - Buff"
"Mogg War Marshal","Creature - Goblin Warrior","R","Red","{1}{R}","false","Red - Go Wide"
"Ratcatcher Trainee","Creature - Human Peasant","R","Red","{1}{R}","false","Red - Go Wide"
"Red Herring","Artifact Creature - Clue Fish","R","Red","{1}{R}","false","Red - Sacrifice"
"Rimrock Knight","Creature - Dwarf Knight","R","Red","{1}{R}","false","Red - Buff"
"Underworld Rage-Hound","Creature - Wall","R","Red","{1}{R}","false","Red - Buff"
"Bogardan Dragonheart","Creature - Human Shaman","R","Red","{2}{R}","false","Red - Sacrifice"
"Guttersnipe","Creature - Goblin Shaman","R","Red","{2}{R}","false","Red - RDW"
"Hissing Iguanar","Creature - Lizard","R","Red","{2}{R}","false","Red - Sacrifice"
"Hordeling Outburst","Creature","R","Red","{1}{R}{R}","false","Red - Go Wide"
"Skophos Reaver","Creature - Minotaur Warrior","R","Red","{2}{R}","false","Red - Sacrifice"
"Spellgorger Weird","Creature - Weird","R","Red","{2}{R}","false","Red - Buff"
"Witty Roastmaster","Creature - Goblin Rogue","R","Red","{2}{R}","false","Red - Go Wide"
"Beetleback Chief","Creature - Goblin Warrior","R","Red","{2}{R}{R}","false","Red - Go Wide"
"Wildfire Elemental","Creature - Elemental","R","Red","{2}{R}{R}","false","Red - Go Wide"
"Burst Lightning","Instant","R","Red","{R}","false","Red - RDW"
"Lightning Bolt","Instant","R","Red","{R}","false","Red - RDW"
"Abrade","Instant","R","Red","{1}{R}","false","Red - Buff"
"Improvised Club","Instant","R","Red","{1}{R}","false","Red - Sacrifice"
"Incinerate","Instant","R","Red","{1}{R}","false","Red - Buff"
"Lightning Strike","Instant","R","Red","{1}{R}","false","Red - RDW"
"Searing Spear","Instant","R","Red","{1}{R}","false","Red - Buff"
"Ambitious Assault","Instant","R","Red","{2}{R}","false","Red - Go Wide"
"Gnawing Crescendo","Instant","R","Red","{2}{R}","false","Red - Go Wide"
"Fireblast","Instant","R","Red","{4}{R}{R}","false","Red - RDW"
"Chain Lightning","Sorcery","R","Red","{R}","false","Red - RDW"
"Faithless Looting","Sorcery","R","Red","{R}","false","Red - Sacrifice"
"Fireball","Sorcery","R","Red","{X}{R}","false","Red - Go Wide"
"Flame Slash","Sorcery","R","Red","{R}","false","Red - Buff"
"Reckless Charge","Sorcery","R","Red","{R}","false","Red - Buff"
"Rally at the Hornburg","Sorcery","R","Red","{1}{R}","false","Red - Go Wide"
"Reckless Impulse","Sorcery","R","Red","{1}{R}","false","Red - RDW"
"Wrangle","Sorcery","R","Red","{1}{R}","false","Red - Sacrifice"
"Rift Bolt","Sorcery","R","Red","{2}{R}","false","Red - RDW"
"Skewer the Critics","Sorcery","R","Red","{2}{R}","false","Red - RDW"
"Barbed Batterfist","Artifact - Equipment","R","Red","{1}{R}","false","Red - Buff"
"Raid Bombardment","Enchantment","R","Red","{2}{R}","false","Red - Go Wide"
"Arbor Elf","Creature - Elf Druid","G","Green","{G}","false","Green - Tokens"
"Elvish Mystic","Creature - Elf Druid","G","Green","{G}","false","Green - Midrange"
"Experiment One","Creature - Human Ooze","G","Green","{G}","false","Green - +1/+1 Counters"
"Llanowar Elves","Creature - Elf Druid","G","Green","","false","Green - Ramp"
"Nyxborn Hydra","Enchantment Creature - Hydra","G","Green","{X}{G}","false","Green - +1/+1 Counters"
"Basking Broodscale","Creature - Eldrazi Lizard","","Green","{1}{G}","false","Green - +1/+1 Counters"
"Bayou Groff","Creature - Plant Dog","G","Green","{1}{G}","false","Green - Tokens"
"Gnarlid Colony","Creature - Beast","G","Green","{1}{G}","false","Green - +1/+1 Counters"
"Mother Bear","Creature - Bear","G","Green","{1}{G}","false","Green - Tokens"
"Nest Invader","Creature - Eldrazi Drone","G","Green","{1}{G}","false","Green - Tokens"
"Sakura-Tribe Elder","Creature - Snake Shaman","G","Green","{1}{G}","false","Green - Ramp"
"Thornweald Archer","Creature - Elf Archer","G","Green","{1}{G}","false","Green - Ramp"
"Wall of Roots","Creature - Plant Wall","G","Green","{1}{G}","false","Green - Midrange"
"Werebear","Creature - Human Bear Druid","G","Green","{1}{G}","false","Green - Midrange"
"Eldrazi Repurposer","Creature - Eldrazi Drone","","Green","{2}{G}","false","Green - Tokens"
"Evolution Witness","Creature - Elf Shaman Mutant","G","Green","{2}{G}","false","Green - +1/+1 Counters"
"Jewel Thief","Creature","G","Green","{2}{G}","false","Green - Tokens"
"Llanowar Visionary","Creature - Elf Druid","G","Green","{2}{G}","false","Green - Ramp"
"Tuskguard Captain","Creature - Human Warrior","G","Green","{2}{G}","false","Green - +1/+1 Counters"
"Bloom Hulk","Creature - Plant Elemental","G","Green","{3}{G}","false","Green - +1/+1 Counters"
"Jade Guardian","Creature - Merfolk Shaman","G","Green","{3}{G}","false","Green - +1/+1 Counters"
"Sarulf's Packmate","Creature - Wolf","G","Green","{3}{G}","false","Green - Midrange"
"Trumpeting Herd","Creature","G","Green","{2}{G}{G}","false","Green - Tokens"
"Bannerhide Krushok","Creature - Rhino","G","Green","{3}{G}","false","Green - +1/+1 Counters"
"Generous Ent","Creature - Treefolk","G","Green","{5}{G}","false","Green - Midrange"
"Greater Tanuki","Enchantment Creature - Dog","G","Green","{4}{G}{G}","false","Green - Ramp"
"Hooting Mandrills","Creature - Ape","G","Green","{5}{G}","false","Green - Midrange"
"Annoyed Altisaur","Creature - Dinosaur","G","Green","{5}{G}{G}","false","Green - Ramp"
"Dread Linnorm","Creature - Snake Dragon","G","Green","{6}{G}","false","Green - +1/+1 Counters"
"Krosan Tusker","Creature - Boar Beast","G","Green","{5}{G}{G}","false","Green - Midrange"
"Owlbear","Creature - Beast","G","Green","{3}{G}{G}","false","Green - Ramp"
"Snakeskin Veil","Instant","G","Green","{G}","false","Green - Midrange"
"Grapple with the Past","Instant","G","Green","{1}{G}","false","Green - Midrange"
"Master's Rebuke","Instant","G","Green","{1}{G}","false","Green - Midrange"
"Ram Through","Instant","G","Green","{1}{G}","false","Green - +1/+1 Counters"
"Pulse of Murasa","Instant","G","Green","{2}{G}","false","Green - Tokens"
"Horrific Assault","Sorcery","G","Green","{G}","false","Green - Tokens"
"Longstalk Brawl","Sorcery","G","Green","{G}","false","Green - +1/+1 Counters"
"Abundant Harvest","Sorcery","G","Green","{G}","false","Green - Ramp"
"Farseek","Sorcery","G","Green","{1}{G}","false","Green - Midrange"
"Malevolent Rumble","Sorcery","G","Green","{1}{G}","false","Green - Tokens"
"Nature's Lore","Sorcery","G","Green","{1}{G}","false","Green - Ramp"
"You Meet in a Tavern","Sorcery","G","Green","{2}{G}{G}","false","Green - Tokens"
"Colossal Dreadmask","Artifact - Equipment","G","Green","{4}{G}{G}","false","Green - Ramp"
"Rancor","Enchantment - Aura","G","Green","{G}","false","Green - Midrange"
"Utopia Sprawl","Enchantment - Aura","G","Green","{G}","false","Green - Midrange"
"Wild Growth","Enchantment - Aura","G","Green","{G}","false","Green - Ramp"
"Elephant Guide","Enchantment - Aura","G","Green","{2}{G}","false","Green - Tokens"
"Flayer Husk","Creature","","Colorless","{1}","false","White - Equipment"
"Gingerbrute","Artifact Creature - Food Golem","","Colorless","{1}","false","White - Equipment"
"Iron Apprentice","Artifact Creature - Construct","","Colorless","{1}","false","Green - +1/+1 Counters"
"Perilous Myr","Artifact Creature - Myr","","Colorless","{2}","false","Red - Sacrifice"
"Filigree Familiar","Artifact Creature - Fox","","Colorless","{3}","false","Blue - Bounce"
"Pierce Strider","Artifact Creature - Construct","","Colorless","{4}","false","White - Flicker / Blink"
"Ulamog's Crusher","Creature - Eldrazi","","Colorless","{8}","false","Black - Removal"
"Bonesplitter","Artifact - Equipment","","Colorless","{1}","false","White - Equipment"
"Candy Trail","Artifact - Food Clue","","Colorless","{1}","false","Blue - Bounce"
"Wayfarer's Bauble","Artifact","","Colorless","{1}","false","Green - Ramp"
"Guardian Idol","Artifact","","Colorless","{2}","false","Black - Removal"
"Mind Stone","Artifact","","Colorless","{2}","false","Green - Ramp"
"Vulshok Morningstar","Artifact - Equipment","","Colorless","{2}","false","White - Equipment"
"Pristine Talisman","Artifact","","Colorless","{3}","false","White - Prison"
"Renegade Freighter","Artifact - Vehicle","","Colorless","{3}","false","Green - Tokens"
"Sickleslicer","Artifact - Equipment","","Colorless","{3}","false","White - Equipment"
"Conduit Pylons","Land - Desert","","Lands","","false","Black - Graveyard"
"Desert","Land - Desert","","Lands","","false","White - Prison"
"Escape Tunnel","Land","","Lands","","false","Green - Tokens"
"Forest","Land","G","Lands","","false","Green - +1/+1 Counters"
"Forest","Land","G","Lands","","false","Green - +1/+1 Counters"
"Forest","Land","G","Lands","","false","Green - +1/+1 Counters"
"Forest","Land","G","Lands","","false","Green - +1/+1 Counters"
"Forest","Land","G","Lands","","false","Green - +1/+1 Counters"
"Forest","Land","G","Lands","","false","Green - Midrange"
"Forest","Land","G","Lands","","false","Green - Midrange"
"Forest","Land","G","Lands","","false","Green - Midrange"
"Forest","Land","G","Lands","","false","Green - Midrange"
"Forest","Land","G","Lands","","false","Green - Midrange"
"Forest","Land","G","Lands","","false","Green - Midrange"
"Forest","Land","G","Lands","","false","Green - Ramp"
"Forest","Land","G","Lands","","false","Green - Ramp"
"Forest","Land","G","Lands","","false","Green - Ramp"
"Forest","Land","G","Lands","","false","Green - Ramp"
"Forest","Land","G","Lands","","false","Green - Ramp"
"Forest","Land","G","Lands","","false","Green - Ramp"
"Forest","Basic Land - Forest","","Lands","","false","Green - Tokens"
"Forest","Land","G","Lands","","false","Green - Tokens"
"Forest","Land","G","Lands","","false","Green - Tokens"
"Forest","Land","G","Lands","","false","Green - Tokens"
"Forest","Land","G","Lands","","false","Green - Tokens"
"Forest","Basic Land - Forest","","Lands","","false","Green - +1/+1 Counters"
"Island","Land","U","Lands","","false","Blue - Bounce"
"Island","Land","U","Lands","","false","Blue - Bounce"
"Island","Land","U","Lands","","false","Blue - Bounce"
"Island","Land","U","Lands","","false","Blue - Bounce"
"Island","Land","U","Lands","","false","Blue - Bounce"
"Island","Land","U","Lands","","false","Blue - Bounce"
"Island","Land","U","Lands","","false","Blue - Control"
"Island","Land","U","Lands","","false","Blue - Control"
"Island","Land","U","Lands","","false","Blue - Control"
"Island","Land","U","Lands","","false","Blue - Control"
"Island","Land","U","Lands","","false","Blue - Control"
"Island","Land","U","Lands","","false","Blue - Control"
"Island","Land","U","Lands","","false","Blue - Flying"
"Island","Land","U","Lands","","false","Blue - Flying"
"Island","Land","U","Lands","","false","Blue - Flying"
"Island","Land","U","Lands","","false","Blue - Flying"
"Island","Land","U","Lands","","false","Blue - Flying"
"Island","Land","U","Lands","","false","Blue - Flying"
"Island","Land","U","Lands","","false","Blue - Tempo"
"Island","Land","U","Lands","","false","Blue - Tempo"
"Island","Land","U","Lands","","false","Blue - Tempo"
"Island","Land","U","Lands","","false","Blue - Tempo"
"Island","Land","U","Lands","","false","Blue - Tempo"
"Island","Land","U","Lands","","false","Blue - Tempo"
"Mountain","Land","R","Lands","","false","Red - Buff"
"Mountain","Land","R","Lands","","false","Red - Buff"
"Mountain","Land","R","Lands","","false","Red - Buff"
"Mountain","Land","R","Lands","","false","Red - Buff"
"Mountain","Land","R","Lands","","false","Red - Buff"
"Mountain","Land","R","Lands","","false","Red - Buff"
"Mountain","Land","R","Lands","","false","Red - Go Wide"
"Mountain","Land","R","Lands","","false","Red - Go Wide"
"Mountain","Land","R","Lands","","false","Red - Go Wide"
"Mountain","Land","R","Lands","","false","Red - Go Wide"
"Mountain","Land","R","Lands","","false","Red - Go Wide"
"Mountain","Land","R","Lands","","false","Red - Go Wide"
"Mountain","Land","R","Lands","","false","Red - RDW"
"Mountain","Land","R","Lands","","false","Red - RDW"
"Mountain","Land","R","Lands","","false","Red - RDW"
"Mountain","Land","R","Lands","","false","Red - RDW"
"Mountain","Land","R","Lands","","false","Red - RDW"
"Mountain","Basic Land - Mountain","R","Lands","","false","Red - RDW"
"Mountain","Basic Land - Mountain","","Lands","","false","Red - Sacrifice"
"Mountain","Land","R","Lands","","false","Red - Sacrifice"
"Mountain","Land","R","Lands","","false","Red - Sacrifice"
"Mountain","Land","R","Lands","","false","Red - Sacrifice"
"Mountain","Land","R","Lands","","false","Red - Sacrifice"
"Mountain","Land","R","Lands","","false","Red - Sacrifice"
"Plains","Land","W","Lands","","false","White - Equipment"
"Plains","Land","W","Lands","","false","White - Equipment"
"Plains","Land","W","Lands","","false","White - Equipment"
"Plains","Land","W","Lands","","false","White - Equipment"
"Plains","Land","W","Lands","","false","White - Equipment"
"Plains","Land","W","Lands","","false","White - Equipment"
"Plains","Land","W","Lands","","false","White - Flicker / Blink"
"Plains","Land","W","Lands","","false","White - Flicker / Blink"
"Plains","Land","W","Lands","","false","White - Flicker / Blink"
"Plains","Land","W","Lands","","false","White - Flicker / Blink"
"Plains","Land","W","Lands","","false","White - Flicker / Blink"
"Plains","Land","W","Lands","","false","White - Flicker / Blink"
"Plains","Land","W","Lands","","false","White - Prison"
"Plains","Land","W","Lands","","false","White - Prison"
"Plains","Land","W","Lands","","false","White - Prison"
"Plains","Land","W","Lands","","false","White - Prison"
"Plains","Land","W","Lands","","false","White - Prison"
"Plains","Land","W","Lands","","false","White - Weenie"
"Plains","Land","W","Lands","","false","White - Weenie"
"Plains","Land","W","Lands","","false","White - Weenie"
"Plains","Land","W","Lands","","false","White - Weenie"
"Plains","Land","W","Lands","","false","White - Weenie"
"Plains","Land","W","Lands","","false","White - Weenie"
"Swamp","Land","B","Lands","","false","Black - Aristocrats"
"Swamp","Land","B","Lands","","false","Black - Aristocrats"
"Swamp","Land","B","Lands","","false","Black - Aristocrats"
"Swamp","Land","B","Lands","","false","Black - Aristocrats"
"Swamp","Land","B","Lands","","false","Black - Aristocrats"
"Swamp","Land","B","Lands","","false","Black - ETB"
"Swamp","Land","B","Lands","","false","Black - ETB"
"Swamp","Land","B","Lands","","false","Black - ETB"
"Swamp","Land","B","Lands","","false","Black - ETB"
"Swamp","Land","B","Lands","","false","Black - ETB"
"Swamp","Land","B","Lands","","false","Black - ETB"
"Swamp","Land","B","Lands","","false","Black - Aristocrats"
"Swamp","Land","B","Lands","","false","Black - Graveyard"
"Swamp","Land","B","Lands","","false","Black - Graveyard"
"Swamp","Land","B","Lands","","false","Black - Graveyard"
"Swamp","Land","B","Lands","","false","Black - Graveyard"
"Swamp","Land","B","Lands","","false","Black - Removal"
"Swamp","Land","B","Lands","","false","Black - Removal"
"Swamp","Land","B","Lands","","false","Black - Removal"
"Swamp","Land","B","Lands","","false","Black - Removal"
"Swamp","Land","B","Lands","","false","Black - Removal"
